,City,Country,Max Temp,Lat,Lng,Hotel Name
303,Ushirombo,TZ,68.09,-3.49,31.96,Kigali Hotel
305,Namibe,AO,71.6,-15.2,12.15,Hotel Chik Chik Namibe
306,Voyvozh,RU,31.78,62.89,54.96,Statistrovia
308,Havelock,US,66.0,34.88,-76.9,Sherwood Motel
309,Akyab,MM,72.27,20.15,92.9,Hotel Memory
310,Margate,GB,51.01,51.38,1.39,Premier Inn Margate hotel
312,Port Lincoln,AU,60.1,-34.73,135.87,Port Lincoln Hotel
313,Tefe,BR,74.52,-3.35,-64.71,Aracati Hotel
316,Parana,AR,70.0,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
318,Lata,PT,57.99,40.16,-8.33,Casa Maquia
320,Ancud,CL,51.01,-41.87,-73.82,Hotel Arena Gruesa
324,Russell,US,69.8,32.35,-85.2,Macs
325,Pisco,PE,64.4,-13.7,-76.22,Hostal San Isidro Oficial
328,Kot Samaba,PK,64.74,28.55,70.47,بوٹا شاہین کمبوہ
329,Sabha,LY,59.68,27.04,14.43,محطة ام الارانب -سبها مواصلات
331,North Bend,US,51.8,43.41,-124.22,Red Lion Hotel Coos Bay
332,Aksu,CN,33.55,41.12,80.26,Pudong Holiday Hotel
333,Saldanha,ZA,57.2,-33.01,17.94,Blue Bay Lodge
334,Mujiayingzi,CN,41.2,42.12,118.78,Jinjiang Hotel
335,Rio Gallegos,AR,50.0,-51.62,-69.22,Hotel Santa Cruz
336,Guerrero Negro,MX,69.21,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
339,Morgan City,US,69.01,29.7,-91.21,Hampton Inn & Suites Morgan City
343,Arrecife,ES,62.6,28.96,-13.55,Hotel Lancelot
344,Saint-Pierre,RE,68.0,-21.34,55.48,Lindsey Hôtel
345,Rovaniemi,FI,37.4,66.5,25.72,Arctic City Hotel
347,Rio Grande,BR,66.0,-32.03,-52.1,Hotel Atlântico Rio Grande
352,Sakaiminato,JP,60.8,35.55,133.23,味処・民宿 まつや
