City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,Norman Wells,65.28,-126.83,-2.2,84,75,2.24,CA,11/4/2020 9:58
152,Krasnoselkup,65.7,82.47,11.88,96,100,10.33,RU,11/4/2020 9:58
153,Fandriana,-20.23,47.38,83.21,25,0,7.31,MG,11/4/2020 9:58
154,Yellowknife,62.46,-114.35,3.2,77,75,11.41,CA,11/4/2020 9:58
155,Sindor,62.86,51.89,40.69,91,95,10.18,RU,11/4/2020 9:58
156,Mar Del Plata,-38,-57.56,60.01,87,20,12.75,AR,11/4/2020 9:57
157,Xining,36.62,101.77,42.55,58,100,5.95,CN,11/4/2020 9:58
158,Cidreira,-30.18,-50.21,60.6,72,9,10.76,BR,11/4/2020 9:58
159,Moroto,2.53,34.67,82.44,36,8,14.7,UG,11/4/2020 9:58
160,Sabha,27.04,14.43,75.58,30,0,9.22,LY,11/4/2020 9:58
161,Faya,18.39,42.45,75.2,33,20,3.36,SA,11/4/2020 9:58
162,Lianzhou,24.78,112.38,64.76,69,21,2.46,CN,11/4/2020 9:58
163,Upernavik,72.79,-56.15,21.31,96,100,13.76,GL,11/4/2020 9:58
164,Faanui,-16.48,-151.75,78.8,82,100,17.58,PF,11/4/2020 9:58
165,Walvis Bay,-22.96,14.51,64.99,68,14,5.82,NA,11/4/2020 9:58
166,Ilulissat,69.22,-51.1,35.6,55,100,16.11,GL,11/4/2020 9:58
167,Arkhipo-Osipovka,44.37,38.52,61.52,62,98,14,RU,11/4/2020 9:58
168,Sao Filipe,14.9,-24.5,78.28,73,53,5.79,CV,11/4/2020 9:58
169,Clyde River,70.47,-68.59,5,71,20,10.29,CA,11/4/2020 9:58
170,Victoria,22.29,114.16,73.99,70,5,16.8,HK,11/4/2020 9:58
171,Ayan,56.45,138.17,16,87,100,28.66,RU,11/4/2020 9:58
172,Atambua,-9.11,124.89,80.1,71,99,2.48,ID,11/4/2020 9:58
173,High Level,58.52,-117.14,14,92,90,10.29,CA,11/4/2020 9:58
174,Cabo Rojo,18.09,-67.15,77,73,85,1.01,PR,11/4/2020 9:58
175,Kiama,-34.68,150.87,71.01,69,91,5.39,AU,11/4/2020 9:58
176,Meulaboh,4.14,96.13,81.95,81,96,2.93,ID,11/4/2020 9:58
177,Codrington,-38.27,141.97,51.55,84,36,16.64,AU,11/4/2020 9:58
178,Rawson,-43.3,-65.1,69.21,30,95,9.55,AR,11/4/2020 9:57
179,Karratha,-20.74,116.85,84.97,39,0,14.09,AU,11/4/2020 9:58
180,Maceio,-9.67,-35.74,80.6,78,40,11.41,BR,11/4/2020 9:57
181,Asau,46.43,26.4,48,84,46,3.87,RO,11/4/2020 9:58
182,Storforshei,66.4,14.52,39.99,93,75,7.74,NO,11/4/2020 9:58
183,Pochutla,15.74,-96.47,73,89,73,1.01,MX,11/4/2020 9:58
184,Hofn,64.25,-15.21,42.8,93,90,11.41,IS,11/4/2020 9:58
185,Rocha,-34.48,-54.33,53.33,80,12,1.54,UY,11/4/2020 9:58
186,Klaksvik,62.23,-6.59,46.4,81,75,19.46,FO,11/4/2020 9:58
187,Riverton,40.52,-111.94,57,57,1,5.82,US,11/4/2020 9:58
188,Les Cayes,18.2,-73.75,76.39,83,100,5.14,HT,11/4/2020 9:58
189,Teluknaga,-6.1,106.64,86,66,20,4.7,ID,11/4/2020 9:58
190,Tarragona,41.13,1.25,53.6,87,75,9.17,ES,11/4/2020 9:58
191,Namibe,-15.2,12.15,73.4,64,20,6.93,AO,11/4/2020 9:58
192,Saint-Philippe,-21.36,55.77,77,61,90,20.8,RE,11/4/2020 9:58
193,Monticello,45.31,-93.79,44.01,86,1,6.67,US,11/4/2020 9:58
194,Ixtapa,20.7,-105.2,72,78,0,1.01,MX,11/4/2020 9:58
195,Ushtobe,45.25,77.98,47.21,49,27,12.12,KZ,11/4/2020 9:58
196,Abha,18.22,42.51,75.2,33,20,3.36,SA,11/4/2020 9:58
197,Inhambane,-23.86,35.38,86,66,20,16.11,MZ,11/4/2020 9:58
198,Kanye,-24.97,25.33,80.28,40,62,10.65,BW,11/4/2020 9:58
199,North Bend,43.41,-124.22,59,100,90,5.82,US,11/4/2020 9:58
200,Santa Barbara,34.73,-120.03,50,100,90,6.31,US,11/4/2020 9:55
201,San Quintin,30.48,-115.95,52,10,100,4,MX,11/4/2020 9:58
202,Nurota,40.56,65.69,71.6,12,0,13.87,UZ,11/4/2020 9:58
203,Skibbereen,51.55,-9.27,41,80,0,9.17,IE,11/4/2020 9:58
204,Imbituba,-28.24,-48.67,62.6,77,0,11.41,BR,11/4/2020 9:58
205,Isangel,-19.55,169.27,74.62,86,100,3.27,VU,11/4/2020 9:58
206,Coquimbo,-29.95,-71.34,53.6,93,100,2.24,CL,11/4/2020 9:55
207,Santa Vitoria Do Palmar,-33.52,-53.37,57.69,68,2,6.6,BR,11/4/2020 9:58
208,Caraballeda,10.61,-66.85,77,74,20,8.19,VE,11/4/2020 9:58
209,Husavik,66.04,-17.34,55.4,50,75,20.8,IS,11/4/2020 9:58
210,Saint-Francois,46.42,3.91,50,93,0,3.36,FR,11/4/2020 9:58
211,Gaogou,34.02,119.19,55.45,39,71,4.5,CN,11/4/2020 9:58
212,Sfantu Gheorghe,45.87,25.78,51.01,66,25,4.81,RO,11/4/2020 9:58
213,Mount Gambier,-37.83,140.77,53.6,71,75,16.11,AU,11/4/2020 9:58
214,Yayva,59.33,57.26,32,83,75,1.99,RU,11/4/2020 9:58
215,Kuala Terengganu,5.33,103.14,77,94,40,1.88,MY,11/4/2020 9:58
216,Champerico,14.3,-91.92,61,89,74,1.99,GT,11/4/2020 9:58
217,Te Anau,-45.42,167.72,56.57,91,100,3.69,NZ,11/4/2020 9:58
218,Goleniow,53.56,14.83,54,70,20,11.41,PL,11/4/2020 9:58
219,Kabare,-2.47,28.82,77.2,56,77,4.5,CD,11/4/2020 9:58
220,Bitung,1.45,125.18,80.6,88,40,2.24,ID,11/4/2020 9:58
221,Flinders,-34.58,150.86,71.01,80,96,1.01,AU,11/4/2020 9:58
222,Ruwi,23.6,58.55,89.6,22,0,9.17,OM,11/4/2020 9:58
223,Aksarka,66.56,67.8,34.66,99,100,9.42,RU,11/4/2020 9:58
224,Homberg,51.03,9.4,48,81,20,2.24,DE,11/4/2020 9:58
225,Katsuura,35.13,140.3,59,38,20,4.7,JP,11/4/2020 9:58
226,Tecoanapa,16.52,-98.75,75.61,66,59,4.74,MX,11/4/2020 9:58
227,Joshimath,30.57,79.57,58.71,31,19,7.25,IN,11/4/2020 9:58
228,Tuy Hoa,13.08,109.3,77.38,83,96,11.65,VN,11/4/2020 9:58
229,Saldanha,-33.01,17.94,71.6,77,40,11.41,ZA,11/4/2020 9:58
230,Matam,15.62,-13.33,80.6,61,0,2.24,SN,11/4/2020 9:58
231,Nouadhibou,20.93,-17.03,69.8,64,0,16.11,MR,11/4/2020 9:58
232,Concepcion Del Uruguay,-32.48,-58.24,57.99,76,0,4,AR,11/4/2020 9:58
233,Phetchabun,16.25,101.08,86,58,75,5.82,TH,11/4/2020 9:58
234,Mexico,15.06,120.72,84.2,74,75,4.7,PH,11/4/2020 9:54
235,Roshchino,60.25,29.61,48.99,90,90,13,RU,11/4/2020 9:58
236,Marabba,12.35,32.18,99.14,20,89,13.73,SD,11/4/2020 9:58
237,Samarai,-10.62,150.67,80.55,82,97,13.82,PG,11/4/2020 9:58
238,Kourou,5.16,-52.65,77,100,40,6.64,GF,11/4/2020 9:58
239,Tocopilla,-22.09,-70.2,58.14,63,24,2.48,CL,11/4/2020 9:58
240,Atar,20.52,-13.05,78.8,36,16,2.24,MR,11/4/2020 9:58
241,Antunez,19.02,-102.2,67.75,63,10,1.07,MX,11/4/2020 9:58
242,Isla Vista,34.41,-119.86,62.01,93,1,4.7,US,11/4/2020 9:54
243,Berlevag,70.86,29.09,35.6,69,0,16.11,NO,11/4/2020 9:58
244,Manadhoo,5.77,73.38,82.78,65,0,1.7,MV,11/4/2020 9:58
245,Esperance,-33.87,121.9,59,58,98,17.22,AU,11/4/2020 9:58
246,Vostok,46.49,135.88,18.68,85,0,12.08,RU,11/4/2020 9:58
247,Emerald,-23.53,148.17,84.2,39,0,8.05,AU,11/4/2020 9:58
248,Hami,42.8,93.45,52.18,36,58,6.85,CN,11/4/2020 9:58
249,Dawei,14.08,98.2,83.48,77,58,3.31,MM,11/4/2020 9:58
250,Kaitangata,-46.28,169.85,57,94,5,1.99,NZ,11/4/2020 9:58
251,Wajima,37.4,136.9,42.8,100,40,1.12,JP,11/4/2020 9:58
252,Avera,33.19,-82.53,39.2,52,1,5.01,US,11/4/2020 9:58
253,Tual,-5.67,132.75,84,70,100,8.41,ID,11/4/2020 9:58
254,Vardo,70.37,31.11,33.8,86,0,31.09,NO,11/4/2020 9:58
255,San Carlos,9.66,-68.58,71.19,94,68,2.86,VE,11/4/2020 9:58
256,Marawi,8,124.29,82.99,81,96,2.04,PH,11/4/2020 9:58
257,Salamanca,40.83,-6,44.01,80,20,13.87,ES,11/4/2020 9:58
258,Metro,-5.11,105.31,83.08,75,85,5.99,ID,11/4/2020 9:58
259,Oropesa,-13.59,-71.77,50.32,67,97,1.66,PE,11/4/2020 9:58
260,Jaciara,-15.97,-54.97,72.09,62,48,1.19,BR,11/4/2020 9:58
261,San Matias,-16.37,-58.4,71.89,53,86,1.25,BO,11/4/2020 9:58
262,Ishikari,43.24,141.35,42.8,75,75,16.11,JP,11/4/2020 9:58
263,Nola,40.92,14.53,69.01,67,94,1.5,IT,11/4/2020 9:58
264,Tezu,27.92,96.17,78.04,74,1,1.5,IN,11/4/2020 9:58
265,Northam,51.03,-4.22,48.99,83,0,7,GB,11/4/2020 9:58
266,Carnarvon,-24.87,113.63,78.8,65,0,23.04,AU,11/4/2020 9:58
267,Hasaki,35.73,140.83,50,76,20,2.24,JP,11/4/2020 9:58
268,Partizanskoye,55.5,94.39,26.71,92,97,13.09,RU,11/4/2020 9:58
269,Moose Factory,51.26,-80.61,26.6,86,90,6.93,CA,11/4/2020 9:58
270,Gigmoto,13.78,124.39,77.41,87,100,6.91,PH,11/4/2020 9:58
271,Nome,64.5,-165.41,24.01,73,1,13.87,US,11/4/2020 9:57
272,Mnogovershinnyy,53.94,139.92,17.4,96,100,19.75,RU,11/4/2020 9:58
273,Skjervoy,70.03,20.97,41,60,0,12.75,NO,11/4/2020 9:58
274,El Fuerte,26.42,-108.62,73.18,47,0,3.24,MX,11/4/2020 9:58
275,Manono,-7.3,27.42,85.86,65,99,2.77,CD,11/4/2020 9:58
276,Bhola,22.68,90.65,82.56,72,23,0.87,BD,11/4/2020 9:58
277,Tuktoyaktuk,69.45,-133.04,8.89,95,98,12.84,CA,11/4/2020 9:58
278,Plettenberg Bay,-34.05,23.37,72.48,63,67,10.69,ZA,11/4/2020 9:58
279,Vao,-22.67,167.48,73.45,84,100,4.09,NC,11/4/2020 9:58
280,Lagos,6.58,3.75,80.6,88,20,2.68,NG,11/4/2020 9:55
281,Bonito Oriental,15.75,-85.74,75.6,95,100,8.52,HN,11/4/2020 9:58
282,Tarko-Sale,64.92,77.78,24.76,98,100,5.08,RU,11/4/2020 9:58
283,Ushirombo,-3.49,31.96,89.44,35,65,3.94,TZ,11/4/2020 9:58
284,Pierre,44.37,-100.35,42.8,60,1,3.36,US,11/4/2020 9:58
285,Fairbanks,64.84,-147.72,-23.8,67,20,1.34,US,11/4/2020 9:54
286,Katobu,-4.94,122.53,80.67,76,99,5.17,ID,11/4/2020 9:58
287,Ahipara,-35.17,173.17,62.85,88,100,10.22,NZ,11/4/2020 9:58
288,Hobro,56.64,9.79,51.01,83,40,8.01,DK,11/4/2020 9:58
289,Nekrasovskoye,57.68,40.37,46.4,93,90,6.71,RU,11/4/2020 9:58
290,Ladario,-19,-57.6,68,94,0,0.87,BR,11/4/2020 9:58
291,Menomonie,44.88,-91.92,46.99,86,1,5.57,US,11/4/2020 9:54
292,Mahebourg,-20.41,57.7,78.8,50,75,13.87,MU,11/4/2020 9:58
293,Beringovskiy,63.05,179.32,31.93,97,100,10.45,RU,11/4/2020 9:58
294,Karabuk,41.2,32.63,61.05,42,99,4.21,TR,11/4/2020 9:58
295,Painesville,41.72,-81.25,50,49,1,9.17,US,11/4/2020 9:58
296,Tsiroanomandidy,-18.77,46.03,96.82,23,20,3.38,MG,11/4/2020 9:58
297,Theunissen,-28.41,26.7,78.64,38,100,12.44,ZA,11/4/2020 9:58
298,Severnoye,56.35,78.36,32.77,85,100,18.16,RU,11/4/2020 9:58
299,Manaure,11.78,-72.44,80.08,81,54,13.96,CO,11/4/2020 9:58
300,Vila,42.03,-8.16,45,81,26,5.01,PT,11/4/2020 9:58
301,Seoul,37.57,126.98,46.4,36,1,4.74,KR,11/4/2020 9:58
302,Vila Franca Do Campo,37.72,-25.43,60.8,67,40,12.75,PT,11/4/2020 9:58
303,Saint George,37.1,-113.58,57.2,40,1,6.93,US,11/4/2020 9:58
304,Pontianak,-0.03,109.33,81.32,79,100,4.61,ID,11/4/2020 9:58
305,Mazatlan,23.22,-106.42,75.99,94,5,4.23,MX,11/4/2020 9:58
306,Lorengau,-2.02,147.27,82.18,76,49,4.5,PG,11/4/2020 9:58
307,Ternate,0.8,127.4,82.51,74,86,1.66,ID,11/4/2020 9:58
308,Lardos,36.09,28.02,73,52,20,11.41,GR,11/4/2020 9:58
309,Saint-Joseph,-21.37,55.62,77,61,90,20.8,RE,11/4/2020 9:58
310,Mandalgovi,45.76,106.27,29.03,76,0,3.06,MN,11/4/2020 9:58
311,Lebu,-37.62,-73.65,51.94,94,52,7.16,CL,11/4/2020 9:58
312,Mantua,45.17,10.78,63,80,60,3,IT,11/4/2020 9:58
313,Kamenka,51.32,42.77,52,78,7,8.9,RU,11/4/2020 9:58
314,Mullingar,53.53,-7.35,45,91,0,4,IE,11/4/2020 9:58
315,San Rafael,-34.62,-68.33,68.52,38,36,10.87,AR,11/4/2020 9:55
316,Qarchak,35.44,51.57,77,12,75,9.17,IR,11/4/2020 9:58
317,Margate,51.38,1.39,52,71,0,3,GB,11/4/2020 9:58
318,Oranjestad,12.52,-70.03,80.6,78,20,12.75,AW,11/4/2020 9:58
319,Santa Fe,-31.63,-60.7,64,64,0,1.99,AR,11/4/2020 9:57
320,Eenhana,-17.47,16.33,91.4,13,0,3.36,NA,11/4/2020 9:58
321,Kahului,20.89,-156.47,80.6,69,20,14.99,US,11/4/2020 9:58
322,Balaipungut,1.05,101.28,83.08,76,100,2.15,ID,11/4/2020 9:58
323,Cassilandia,-19.11,-51.73,68.76,48,0,3.44,BR,11/4/2020 9:58
